repo,url,category,license,assessment,inference_status,readme_sha256
TheoLeeCJ/SemIf,https://github.com/TheoLeeCJ/SemIf,Mac and device scoring runtimes,MIT,Formerly TheoLeeCJ/openjev. Frozen-model option scorer with MLX support; not Jev-trained weights.,Source and metadata reviewed; model inference not tested,9b16c39c60b9374a0d67f9fda3208ef0eb08f17da1e19fd136f48f3e56d1f5c9
bespokelabsai/nimble,https://github.com/bespokelabsai/nimble,Trained decision models,UNCONFIRMED,Trained 9B LoRA; base model required. Public demo returned HTTP 503. Current unquantized MLX path is too large for available disk.,Public demo attempted: HTTP 503; local not run,b3a04a310f1e786c7ed306a9d45f9487e7667742decda635dd5976b201d18d32
TianyuCodings/NanoJev,https://github.com/TianyuCodings/NanoJev,Specialists and training experiments,MIT,Published game-oriented model. Test Maze/Snake/ViZDoom separately from semantic office tasks; weight license unclear in metadata.,Source and metadata reviewed; model inference not tested,f1fad1cbe3d3c72b51ffbfffb149aa023f4fbd4f5a71b118cd38e88ab5aa37a7
vinnylarouge/jevlike,https://github.com/vinnylarouge/jevlike,Specialists and training experiments,MIT,Tiny train-from-scratch dynamic option scorer. Requires task training; not a general knowledge model.,Source and metadata reviewed; model inference not tested,c1d7fd31d3cf95565ba7ec6190d8c01fcbf92ec6f24c4d67f733d59e742a40c5
jaredpalmer/kev,https://github.com/jaredpalmer/kev,Trained decision models,Apache-2.0,Trained adapter plus decision head. 0.6B checkpoint is a small-model candidate; adapter size excludes base weights.,Source and metadata reviewed; model inference not tested,c17567954eae83fdb65f43da83e8508cb2f017f19dc67468aca09ea19a73ce52
NandhaKishorM/laya,https://github.com/NandhaKishorM/laya,Trained decision models,Apache-2.0,"ModernBERT-based typed decision family; compact English, multilingual and typed-decision checkpoints.",Source and metadata reviewed; model inference not tested,78d36127fbeb5e43aeb1441aea061d5a129fb77ec9cdad8c994b2e14deba54f9
mizorewww/laya-mlx,https://github.com/mizorewww/laya-mlx,Trained decision models,Apache-2.0,"Independent Mac port of Laya, not an additional model family. First local candidate; weights about 843 MB, full context includes questions and options.",Source and metadata reviewed; model inference not tested,31d15a694a65571c5f2dee3f75422ca21ae4d0fe97f4adbf7763b2449c5aea63
bnsd55/jevmlx,https://github.com/bnsd55/jevmlx,Mac and device scoring runtimes,MIT,"Mac-native constrained scoring runtime. Supports small Qwen checkpoints; quality depends on model, prompt and calibration.",Source and metadata reviewed; model inference not tested,532d68464cfb59b11669a982bd804139d9b8989741dc74064c3f1696c89dacb8
ekzhang/openjev-sglang,https://github.com/ekzhang/openjev-sglang,General scoring / serving adapters,UNCONFIRMED,GPU/SGLang server using existing models; not a new checkpoint. Code license unresolved.,Source and metadata reviewed; model inference not tested,cccc70a451675f328a85b74e25346473661522db5797278ddb2155e429d8ed7f
zhihz/openjev,https://github.com/zhihz/openjev,General scoring / serving adapters,NOASSERTION,Frozen Qwen scoring reproduction; README license claim requires checking actual license scope.,Source and metadata reviewed; model inference not tested,8041cd1fe4fad0ea0c9ec4a221de81e723025f1d37302d8c79a9567933d9467b
r-ms/mini-jev,https://github.com/r-ms/mini-jev,General scoring / serving adapters,MIT,"Controlled experiment on frozen Qwen, not a separately trained Jev replacement.",Source and metadata reviewed; model inference not tested,c3517cf646ff370d3d1bcd06d5dfc258274d047508b7ad98b66b266fd79b548a
zhengxuyu/litjev,https://github.com/zhengxuyu/litjev,General scoring / serving adapters,Apache-2.0,Typed option scoring over existing Qwen models.,Source and metadata reviewed; model inference not tested,23f4f07e1265d0c2574cb53cfae853ecf2aaf62f95943978d3c562d9920a2b89
razorback16/OpenJev,https://github.com/razorback16/OpenJev,Diffusion and multimodal wrappers,Apache-2.0,DiffusionGemma-based serving; different model architecture and hardware needs.,Source and metadata reviewed; model inference not tested,37bb1220d021efcb72f3902ddf99b0653e23262d632d64db8ba3ad28e96fc045
daseinlabs/open-jev,https://github.com/daseinlabs/open-jev,Mac and device scoring runtimes,UNCONFIRMED,Gemma/MLX implementation; code license unresolved. Base-model terms also apply.,Source and metadata reviewed; model inference not tested,68dce30ecdd4a5a7ad445c41c71f5c7ee5c4e61510e36e036f900aae61fc08fc
JoshuaSP/open-jev,https://github.com/JoshuaSP/open-jev,Diffusion and multimodal wrappers,MIT,DiffusionGemma wrapper; model license and resources must be assessed separately.,Source and metadata reviewed; model inference not tested,886dfac4f9599f56252d0552dac2c70661e2c93d91aa7809362d032b77cc5786
githubnext/localjev,https://github.com/githubnext/localjev,Diffusion and multimodal wrappers,MIT,TypeSafe-compatible proxy for a local model endpoint; not a model by itself.,Source and metadata reviewed; model inference not tested,564c82e559058baad9973953f50945865eae152cce19b9e711662780303fbb91
featherless-ai/simple-jev,https://github.com/featherless-ai/simple-jev,General scoring / serving adapters,UNCONFIRMED,Existing-model inference implementation. Code license unresolved.,Source and metadata reviewed; model inference not tested,c8e7b58d295a9732b9c93496540eac255c106143445e55b5e9b74687d3942dea
Mapika/decider,https://github.com/Mapika/decider,Trained decision models,Apache-2.0,Trained Qwen family; 0.8B checkpoint about 1.50 GB. Evaluate against Laya before adopting.,Source and metadata reviewed; model inference not tested,d60fb639de7ad7b3af8de4f5cee190422d6c88106eb96aa5bca1029328ecaad3
ikermoel/open-alternative-jev,https://github.com/ikermoel/open-alternative-jev,General scoring / serving adapters,Apache-2.0,Open Qwen scoring implementation; no implication of Jev-equivalent accuracy.,Source and metadata reviewed; model inference not tested,0d443c2b233db4fb13a0332fe081e7e16d134f93c15a4d1abcab801be25cd2f8
